ID,Title,Content,Date,Permalink,Image URL,wpcf-award_name,wpcf-award-year,wpcf-awardee_fname,wpcf-awardee_lname,wpcf-awardee_institution,wpcf-awardee_description,wpcf-awardee_image,Slug,Status
14869,"Suga, Hiroaki",,2023-11-10 20:15:58,https://americanpeptidesociety.org/award/suga-hiroaki/,,duvigneaud,2019,Hiroaki,Suga,The University of  Tokyo,"<p>Professor Hiroaki Suga was born in Okayama City, Japan in 1963. He received his Bachelor of Engineering (1986) and Master of Engineering (1989) from Okayama University, and Ph. D. in Chemistry (1994) from the Massachusetts Institute of Technology. After three years of post-doctoral work in Massachusetts General Hospital, he was appointed as a tenure-track Assistant Professor in the Department of Chemistry in the State University of New York at Buffalo (1997) and promoted to the tenured Associate Professor (2002). In 2003, he moved to Research Center for Advanced Science and Technology in the University of Tokyo as an Associate Professor, and soon after he was promoted to Full Professor. In 2010, he changed his affiliation to the Department of Chemistry, Graduate School of Science.</p>
<p>His research interests are in the field of bioorganic chemistry, chemical biology and biotechnology related to RNA, translation, peptides and pseudo-natural products. He is the recipient of Akabori Memorial Award 2014, Japanese Peptide Society, Max-Bergmann Gold Medal 2016, and Nagoya Medal Silver 2017. He is also a founder of PeptiDream Inc, a publicly traded company in the Tokyo First Stock Exchange Market, which has many partnerships with pharmaceutical companies in worldwide. He also recently started MiraBiologics Inc.</p>",https://americanpeptidesociety.org/wp-content/uploads/2019/08/Suga.jpg,suga-hiroaki,publish
14870,"Raines, Ronald",,2023-11-10 20:15:58,https://americanpeptidesociety.org/award/raines-ronald/,,duvigneaud,2017,Ronald,Raines,University of Wisconsin at Madison,"<p>Ronald T. Raines is the Henry Lardy Professor of Biochemistry, Linus Pauling Professor of Chemical Biology, and Professor of Chemistry at the University of Wisconsin at Madison. His research is focused on the chemical basis for protein structure and function. His efforts have revealed that unappreciated forces-the n-to-pi* interaction and C5 hydrogen bond-stabilize all proteins, created hyperstable and human-scale synthetic collagens, led to an RNA-cleaving enzyme that is in a multi-site human clinical trial as an anti-cancer agent, and established chemical processes to synthesize proteins, catalyze their folding, and facilitate their entry into human cells, and to convert crude biomass into useful fuels and chemicals.</p>
<p>Dr. Raines received Sc.B. degrees in chemistry and biology from the Massachusetts Institute of Technology, and A.M. and Ph.D. degrees in chemistry from Harvard University under the direction of Jeremy Knowles. After studying biochemistry and biophysics as a Helen Hay Whitney postdoctoral fellow with William Rutter at the University of California, San Francisco, he joined the faculty at Wisconsin. In summer 2017, he will return to the Massachusetts Institute of Technology as the Firmenich Professor of Chemistry.</p>
<p>Dr. Raines has received the Pfizer Award in Enzyme Chemistry, Arthur C. Cope Scholar Award, Repligen Corporation Award in the Chemistry of Biological Processes, and Hirschmann Award in Peptide Chemistry from the American Chemical Society; the Jeremy Knowles Award from the Royal Society of Chemistry; the Emil Thomas Kaiser Award from the Protein Society; the Rao Makineni Lectureship and Vincent du Vigneaud Award from the American Peptide Society; and a Humboldt Research Award. Dr. Raines is a fellow of the J. S. Guggenheim Memorial Foundation, American Association for the Advancement of Science, Royal Society of Chemistry, and National Academy of Inventors. He has published over 300 peer-reviewed journal articles, delivered over 300 invited lectures, and supervised over 50 doctoral theses. He holds over 50 U.S. patents, and founded Quintessence Biosciences, Inc. and Hyrax Energy, Inc., which are developing inventions from his laboratory.</p>",https://americanpeptidesociety.org/wp-content/uploads/2019/08/raines_ronald.jpg,raines-ronald,publish
14871,"van der Donk, Wilfred",,2023-11-10 20:15:58,https://americanpeptidesociety.org/award/van-der-donk-wilfred/,,duvigneaud,2017,Wilfred,van der Donk,University of Illinois at Urbana-Champaign,"<p>Wilfred van der Donk was born in the Netherlands and received his B.S. and M.S. from Leiden University. He moved to the USA in 1989 to pursue his Ph.D. under Kevin Burgess at Rice University. After postdoctoral work at MIT with JoAnne Stubbe as a Jane Coffin Child fellow, he joined the faculty at the University of Illinois in 1997, where he currently holds the Richard E. Heckert Chair in Chemistry. Since 2008, he is an Investigator of the Howard Hughes Medical Institute.</p>
<p>Research in his laboratory focuses on using peptide chemistry, enzymology and molecular biology to gain a better understanding of the mechanisms of enzyme catalysis. His group is also exploring the utility of enzymes for synthetic purposes. Of particular interests have been enzymatic reactions in the biosynthesis of peptide antibiotics.</p>
<p>His work has been recognized by a number of awards including an Alfred P. Sloan Fellowship, 2001, Camille Dreyfus Teacher-Scholar Award, 2002, ACS Pfizer Award, 2004, ACS Cope Scholar Award, 2006, the Jeremy Knowles Award of the Royal Society of Chemistry, 2010, and the Emil Thomas Kaiser Award of the Protein Society, 2013. He is a fellow of the Royal Society of Chemistry, the American Academy of Microbiology, and the American Academy of Arts and Sciences.</p>",https://americanpeptidesociety.org/wp-content/uploads/2019/08/vanderdonk_wilfred.jpg,van-der-donk-wilfred,publish
14872,"Chmielewski, Jean",,2023-11-10 20:15:58,https://americanpeptidesociety.org/award/chmielewski-jean/,,duvigneaud,2015,Jean,Chmielewski,Purdue University,"<p>Jean Chmielewski is the AW Kramer Distinguished Professor of Chemistry at Purdue University and a faculty member in the Weldon School of Biomedical Engineering. Jean obtained her undergraduate B.S. degree in chemistry in 1983 from St. Joseph's University where she worked on prostaglandin oligomerization with George Nelson. She moved to Columbia University for graduate school and completed her Ph.D. in 1988 in the area of bioorganic and biomimetic chemistry with Ronald Breslow. Jean joined the labs of E. T. Kaiser of Rockefeller University as an NIH postdoctoral fellow and, subsequently, Peter Schultz of the University of California, Berkeley where she investigated peptide fragment coupling, covalent methods to stabilize peptide conformations and DNA binding antibodies. After her postdoctoral appointments, she was recruited to the faculty in the Chemistry Department of Purdue University.</p>
<p>Jean has investigated the structure and function of many unique peptide systems over the past two decades, including the design of crosslinked peptide fragments to disrupt protein-protein interactions within HIV enzymes, and the introduction of environmental control into self replicating peptides. More recently her peptide research has been focused on peptide shuttles for cellular delivery of therapeutic agents, non-lytic antimicrobial peptides that target intracellular pathogens, and the hierarchical assembly of peptides into highly varied biomaterials for drug delivery and regenerative medicine.</p>
<p>Jean has won numerous awards for her research, including the Arthur C. Cope Scholar Award and the Edward Leete Award, both from the American Chemical Society, and the Agnes Fay Morgan Research Award from Iota Sigma Pi. She has also been honored many times for her teaching and mentoring of students, including the Charles R. Murphy Award - the highest teaching award of Purdue University. She is a fellow of the American Association for the Advancement of Science.</p>",https://americanpeptidesociety.org/wp-content/uploads/2019/08/chmielewski_jean2.jpg,chmielewski-jean,publish
14873,"Craik, David",,2023-11-10 20:15:58,https://americanpeptidesociety.org/award/craik-david/,,duvigneaud,2015,David,Craik,University of Queensland,"<p>David Craik is a Professor at the Institute for Molecular Bioscience, The University of Queensland. He obtained his PhD in organic chemistry from La Trobe University in Melbourne, Australia (1981) and undertook postdoctoral studies at Florida State and Syracuse Universities before taking up a lectureship at the Victorian College of Pharmacy in 1983.</p>
<p>David was appointed Professor of Medicinal Chemistry and head of School in 1988. He moved to University of Queensland in 1995 to set up a new biomolecular NMR laboratory. His research focuses on peptides in drug design, and on toxins, including conotoxins. His group has a particular focus on structural studies of disulfide-rich proteins, and on the discovery and applications of cyclic peptides and novel peptide topologies. He has trained 60 PhD students and is the author of more than 550 scientific publications.</p>",https://americanpeptidesociety.org/wp-content/uploads/2019/08/craik_david.jpg,craik-david,publish
14874,"Chorev, Michael",,2023-11-10 20:15:58,https://americanpeptidesociety.org/award/chorev-michael/,,duvigneaud,2013,Michael,Chorev,Harvard Medical Scool,"<p>Michael Chorev’s contributions to biomedical sciences in general and peptide science in particular are characterized by an integrated approach that combines basic and translational research that is inter- and multi-disciplinary in nature. This research covers subjects in organic-, medicinal-, and bioorganic-chemistries and involves small molecules, peptides and proteins. Through the years, the topics of his research projects changed but were always aimed at furthering understanding of the mechanism of action of bioactive molecules, studying structure-conformation-activity relationships, designing and synthesizing molecular tools and probes, and developing methodologies to accomplish the above. Prof. Chorev success in establishing expansive, extensive and meaningful collaborations with colleagues was always based on bringing together complementing expertise and overlapping interests. Prof. Chorev has published extensively in top peer-reviewed journals, authored several authoritative reviews and book chapters, and was recognized as a co-inventor on more than forty patents. Prof. Chorev co-chaired the 18th American Peptide Symposium and served during 2003-2009 as a council member of the American Peptide Society.</p>
<p> </p>
<p>Initially, as a postdoctoral fellow in Prof. Murray Goodman’s laboratory and later as a junior faculty Michael Chorev has been a major formulator of concepts in the retro-inverso peptide chemistry and pioneered the development of the partial retro-inverso modification and the end-group modified retro-inverso peptides. These contributions invigorated a neglected topochemical approach and stimulated a new surge of very fruitful and diverse range of synthetic, structural, and biological investigations.</p>
<p> </p>
<p>Prof. Chorev’s long lasting interest in G-protein coupled receptors, GPCRs, led to the study of ligands such as enkephalins, substance P, CCK, osteogenic growth peptide, OGP, parathyroid hormone, PTH, PTH-related protein, PTHrP, and more recently melanotropins. Highlights include preparation of highly potent partial retro-inverso enkephalins, development of peptide bond surrogate containing highly selective agonists of the neurokinin receptor subtypes that become standard tools in neurobiology, structure-activity-conformation relationship studies of antagonists and agonists derived from of PTH and PTHrP, and the application of an integrated approach that combines photoaffinity crosslinking studies, conformational analysis and molecular simulations leading to the development of an experimentally-based model for PTH interaction with its cognate GPCR. Prof Chorev’s recent introduction of the intramolecular side chain-to-side chain copper(I)-catalyzed Huisgen’s azide-alkyne 1,3-cycloaddition, CuAAC, click reaction as a method to stabilize secondary structures of otherwise unstructured linear peptides included extensive development of enabling synthetic methodology. This novel heterodetic modification was applied to generate highly potent MTII antagonists as well as potent inhibitors of eIF4E/eIF4G protein-protein interaction.</p>
<p> </p>
<p>More recently, Prof. Chorev’s contributions enabled the successful development of an ELISA able to identify glycated-CD59, gCD59, a novel pathologically relevant biomarker for glycemic control in diabetes. This effort required the development of methods to synthesize this post-translationally modified antigen, immunogen, and gCD59-surrogate. This approach offers a general strategy to overcome the inherent difficulty associated with the scarcity and inherent heterogeneity of post-translationally modified molecular tools.</p>
<p>Prof. Chorev’s translational research activities included small molecules - a marketed one for treating patients with moderate to mild Alzheimer disease and one that is currently in clinical trials for treating mild cognition impairment, MCI. In addition, he recently cofounded a startup targeting the development and commercialization of CD59-based diagnostics.</p>",https://americanpeptidesociety.org/wp-content/uploads/2019/08/chorev_michael.jpg,chorev-michael,publish
14875,"Lam, Kit Sang",,2023-11-10 20:15:58,https://americanpeptidesociety.org/award/lam-kit-sang/,,duvigneaud,2013,Kit Sang,Lam,"University of California, Davis School of Medicine","<p>Professor Kit Lam is a physician-scientist and an expert in combinatorial chemistry, peptide chemistry, chemical biology, drug discovery and development, molecular imaging, nanotherapeutics and medical oncology. He obtained his B.A. in Microbiology in 1975 at the University of Texas at Austin, his Ph.D. in Oncology in 1980 from McArdle Laboratory for Cancer Research, University of Wisconsin, and his M.D. in 1984 from Stanford University School of Medicine. He completed his Internal Medicine residency training and Medical Oncology Fellowship training at the University of Arizona.</p>
<p>Professor Lam is board certified in both Internal Medicine and Medical Oncology. He is currently Chair of the Department of Biochemistry and Molecular Medicine, University of California Davis School of Medicine, Professor of Hematology and Oncology, a leader of the UC Davis Comprehensive Cancer Center, and a Fellow of the American College of Physicians. He has made a seminal contribution to the peptide field through the development of the one-bead-one-compound, OBOC, approach to combinatorial chemistry.</p>
<p>Professor Lam is a founding scientist of the Selectide Corporation, one of the first start-up companies to specialize in combinatorial chemistry. He has published over 290 peer-reviewed scientific publications and holds 15 patents on inventions.</p>
<p>Over the last two decades, Professor Lam has made a number of advances in the chemistry and screening of OBOC combinatorial methods. He successfully applied these methods for B-cell epitope mapping, discovery of cancer targeting ligands for cancer imaging and therapy, and the development of on-demand protease cleavable linker for radioimmunotherapy. More recently, he and his colleagues reported the successful development of LLP2A-bisphosphonate conjugate that facilitates the homing of mesenchymal stem cells to the bone matrix as a potential treatment for osteoporosis.</p>
<p>LLP2A is a high-affinity and high-specificity peptidomimetic ligand against activated α4β1 integrin discovered by the OBOC technology. In addition to screening methods, he has developed novel encoding strategies with topographically segregated bilayer beads, such that library compounds reside on the bead surface and the coding tags reside in the bead interior. He invented the one-bead-two-compound library method for the efficient discovery of pro-apoptotic ligands against cancer. In the last few years, Professor Lam has expanded his research to the development of targeting nanocarriers for cancer imaging and therapy. Using Fmoc-chemistry, multi-gram quantities of amphiphilic telodendrimers comprised of PEG-dendritic lysine/cholic acid can be prepared and used as targeting reversible micellar nanocarriers for drug delivery and cancer imaging.</p>",https://americanpeptidesociety.org/wp-content/uploads/2019/08/lam_kit.jpg,lam-kit-sang,publish
14876,"Albericio, Fernando",,2023-11-10 20:15:58,https://americanpeptidesociety.org/award/albericio-fernando/,,duvigneaud,2011,Fernando,Albericio,University of Barcelona,"<p>Fernando Albericio was born in Barcelona, Spain in 1953. He received his Ph.D. in Chemistry at the University of Barcelona, in 1981 under the supervision of Ernest Giralt. Following postdoctoral work with Victor A. Najjar at Tufts University, Boston, Jurphaas van Rietschoten at the Université d'Aix-Marseille, France, and George Barany at the University of Minnesota, 1981-1984, he returned to Barcelona as Associate Professor.</p>
<p> </p>
<p>During the 1992-1994 periods, he was Director of Peptide Research with Milligen/Biosearch at Boston. He rejoined the University of Barcelona, where he was promoted to Professor in 1995. Nowadays, he is holding a triple appointment as General Director of the Barcelona Science Park, Professor at the University of Barcelona, and Group Leader at the Barcelona Biomedical Research Institute.</p>
<p> </p>
<p>Fernando's major research interests cover practically all aspects of peptide synthesis and combinatorial chemistry methodologies, as well as synthesis of peptides and small molecules with therapeutic activities. Thus, main programs in his research are devoted to the synthesis and structure-activity relationship studies of antitumoral compounds isolated from the sea.</p>
<p> </p>
<p>Fernando has published over 500 papers, several review articles, more than forty patents, and co-author of the books, <em>Chemical Approaches to the Synthesis of Peptides</em> and <em>Proteins and Solid-Phase Synthesis</em> &emdash; A Practical Guide. He is currently editor of <em>International Journal of Peptide Research and Therapeutics</em>.</p>
<p>He received the Leonidas Zervas award from the European Peptide Society in 1994. Recently, Fernando Albericio has been honored with a Doctorate Honoris Causa by the Universidad de Buenos Aires, Argentina.</p>",https://americanpeptidesociety.org/wp-content/uploads/2019/08/albericio_fernando.jpg,albericio-fernando,publish
14877,"Meldal, Morten",,2023-11-10 20:15:58,https://americanpeptidesociety.org/award/meldal-morten/,,duvigneaud,2011,Morten,Meldal,"Carlsberg Laboratories, Copenhagen","<p>Professor Morten Meldal has dedicated his scientific life to the development of novel methods, supports, instruments and chemical tools for the peptide scientist at large. Amongst the prominent new chemical reactions introduced in peptide chemistry by Meldal is ""Click"" chemistry and N-acyliminium cascade reactions. Meldal has introduced peptide based transition metal carbene / phosphine catalysts and he has developed a vast array of assays and combinatorial techniques as tools in peptide chemistry and biology.</p>
<p>Meldal has headed synthesis at Carlsberg Laboratory in Copenhagen through twenty exciting years of research where he directed a Centre of Combinatorial Chemistry and Molecular Recognition. He was recently appointed Professor of Nano Science at the Nano Science Center of Copenhagen University. He has a Ph.D. degree in Chemistry of Oligosaccharides from Technical University of Denmark. He did a Post-Doctoral stay in Cambridge with Dr. R.C. Sheppard at M. R. C. where he studied peptide synthesis. He has received many awards and is member or board member of several Danish and international scientific societies. He is on the editorial advisory board of major journals in the field. He co-founded Society of Combinatorial Sciences in 1999, which he is currently chairing. His research areas cover: sugar and oligosaccharide chemistry, combinatorial chemistry, “click” chemistry, polymer chemistry, organic synthesis, automation in synthesis, artificial receptors and enzymes, nano-assays, bio-molecular recognition, enzyme activity, cellular assays, molecular immunology, nano-scale MS and NMR, resin-encoding, catalysis and material sciences. However, the contemporary methodology in peptide- and combinatorial chemistry has always been closest to his heart and his work has resulted in innovative and practical solutions to the general problems in these scientific fields.</p>
<p>Meldal addressed the need for a solid phase for both peptide- and peptide-organic chemistry and for on-resin analysis for chemical biology and protein chemistry. He invented several PEG-based resins, for example PEGA, SPOCC, POEPOP, and ULTRAMINE, unique in their amphipatic nature and investigated properties of these by physical methods.</p>
<p>In 2001, at the APS in San Diego, Meldal presented the highly cited Cu-catalyzed chemical ""click"" ligation, cycloaddition, of acetylenes and azides, CuAAC, currently widely used in peptide and protein conjugations, in polymers and in materials sciences. His group also showed this reaction to be completely orthogonal to most other chemistries.</p>
<p>The PEG-based resins have allowed Meldal to merge organic and peptide chemistry on solid support, as well demonstrated by a large range of novel methods based on the highly specific generation of N-acyl iminium ions involving backbone or side-chain amides to yield complex large heterocyclic systems from peptides upon intramolecular cascade reaction with C-, N-, O- and S-nucleophiles. Meldal also developed live cell on bead assays using the biocompatible PEG-resins and has shown that GPCR's can be screened using a fluorescent reporter gene assay in a conventional split mix format. Combinatorial libraries of heterocycles were generated and screened for GPCR active substances in cell-based on-bead screening using functionalized PEGA supports.</p>
<p>Pioneering the concept of organozymes, Meldal has created peptide-organic molecules that fold around transition metals and chelate these through phosphines, carbenes and heterocycles and act as enzyme like chiral catalysts on solid support. Similarly, he has developed peptide based cage like receptors that can recognize sugars in water.</p>
<p>Otherwise inaccessible and sterically hindered, peptide oligomers were synthesized by Meldal using azide-protection of the amines. The azido acids also facilitated orthogonal chemistries required for glycopeptide assembly. Meldal has developed chemistry for synthesis of all known types of N, O and C-linked glycopeptides and used these in the study of cancer related mucins.</p>
<p>Meldal has pioneered many technological developments and instruments for peptide synthesis, including a carousel amino acid delivery system and the first real-time on-resin spectrophotometric monitoring of peptide coupling. He developed the first multiple column synthesizer and instrumentation for assembly of split — mix libraries. He also developed many fluorescence based screening to study, for example, protease specificity and inhibition and this technique is currently active in a large effort to characterize the biological function of plant proteases. He developed combichem of peptides containing phosphinic acid as transition state analogs and identified nanomolar selective inhibitors for metallo-proteases.</p>
<p>Recently Meldal has developed the first practical optical encoding technique for beaded solid supports for tracking chemical identity during synthesis and screening at high rate and with a large encoding potential, particularly in combinatorial chemistry.</p>",https://americanpeptidesociety.org/wp-content/uploads/2019/08/meldal_morten.jpg,meldal-morten,publish
14878,"Dawson, Philip",,2023-11-10 20:15:58,https://americanpeptidesociety.org/award/dawson-philip/,,duvigneaud,2010,Philip,Dawson,Scripps Research,,,dawson-philip,publish
14879,"Muir, Thomas W.",,2023-11-10 20:15:58,https://americanpeptidesociety.org/award/muir-thomas-w/,,duvigneaud,2008,Thomas W.,Muir,Rockefeller University,,,muir-thomas-w,publish
14880,"Ghadiri, Reza",,2023-11-10 20:15:58,https://americanpeptidesociety.org/award/ghadiri-reza/,,duvigneaud,2010,Reza,Ghadiri,Scripps Research,,,ghadiri-reza,publish
14881,"Gellman, Samuel H.",,2023-11-10 20:15:58,https://americanpeptidesociety.org/award/gellman-samuel-h/,,duvigneaud,2006,Samuel H.,Gellman,University of Wisconsin,,,gellman-samuel-h,publish
14882,"Imperiali, Barbara",,2023-11-10 20:15:58,https://americanpeptidesociety.org/award/imperiali-barbara/,,duvigneaud,2006,Barbara,Imperiali,Massachusetts Institute of Technology,,,imperiali-barbara,publish
14883,"Kent, Stephen B. H.",,2023-11-10 20:15:58,https://americanpeptidesociety.org/award/kent-stephen-b-h-2/,,duvigneaud,2004,Stephen B. H.,Kent,University of Chicago,,,kent-stephen-b-h-2,publish
14884,"Seebach, Dieter",,2023-11-10 20:15:58,https://americanpeptidesociety.org/award/seebach-dieter/,,duvigneaud,2004,Dieter,Seebach,Swiss Federal Institute of Technology at Zurich,,,seebach-dieter,publish
14885,"Hodges, Robert",,2023-11-10 20:15:59,https://americanpeptidesociety.org/award/hodges-robert-2/,,duvigneaud,2002,Robert,Hodges,"University of Colorado, School of Medicine",,,hodges-robert-2,publish
14886,"Kessler, Horst",,2023-11-10 20:15:59,https://americanpeptidesociety.org/award/kessler-horst-2/,,duvigneaud,2002,Horst,Kessler,Technical University of München,,,kessler-horst-2,publish
14887,"Deber, Charles M.",,2023-11-10 20:15:59,https://americanpeptidesociety.org/award/deber-charles-m/,,duvigneaud,2000,Charles M.,Deber,University of Toronto,,,deber-charles-m,publish
14888,"Houghten, Richard A.",,2023-11-10 20:15:59,https://americanpeptidesociety.org/award/houghten-richard-a-2/,,duvigneaud,2000,Richard A.,Houghten,Torrey Pines Institute for Molecular Studies,,,houghten-richard-a-2,publish
14889,"Schiller, Peter W.",,2023-11-10 20:15:59,https://americanpeptidesociety.org/award/schiller-peter-w/,,duvigneaud,1998,Peter W.,Schiller,Clinical Research Institute of Montreal,,,schiller-peter-w,publish
14890,"Wells, James A.",,2023-11-10 20:15:59,https://americanpeptidesociety.org/award/wells-james-a/,,duvigneaud,1998,James A.,Wells,"Genentech, Inc.",,,wells-james-a,publish
14891,"Felix, Arthur M.",,2023-11-10 20:15:59,https://americanpeptidesociety.org/award/felix-arthur-m/,,duvigneaud,1996,Arthur M.,Felix,"Hoffmann-La Roche, Inc.",,,felix-arthur-m,publish
14892,"Hiskey, Richard G.",,2023-11-10 20:15:59,https://americanpeptidesociety.org/award/hiskey-richard-g/,,duvigneaud,1996,Richard G.,Hiskey,University of North Carolina at Chapel Hill,,,hiskey-richard-g,publish
14893,"Barany, George",,2023-11-10 20:15:59,https://americanpeptidesociety.org/award/barany-george/,,duvigneaud,1994,George,Barany,University of Minnesota at Minneapolis,"<p>George Barany, recipient of the 1994 Vincent du Vigneaud Award, has been a professor in the Department of Chemistry at the University of Minnesota since 1980 and is currently a Distinguished McKnight University Professor. He was born in Hungary in 1955 and immigrated with his family to the United States in 1960. He attended Stuyvesant High School in New York City, and continued directly to The Rockefeller University where he started his graduate studies in 1971 with Professor Bruce Merrifield. He published his first paper in 1973 on the synthesis of an ATP-binding peptide and earned his doctorate in 1977 for development of the dithiasuccinoyl, Dts, protecting group.</p>
<p>Dr. Barany is internationally recognized for his pioneering development of mild methods for solid-phase synthesis of peptides, the co-invention of DNA-on-a-chip technology, and the introduction of the concept of orthogonality into organic chemistry and chemical biology. His research interests encompass peptide synthesis, protecting groups for organic functionalities, the chemistry of thiols, disulfides, and polysulfanes, functionalization of soluble and insoluble polymers, methods for preparation of chemical combinatorial libraries, and the mechanisms of protein folding including the design and synthesis of constructs that autonomously fold in aqueous media.</p>
<p>Professor Barany's ground-breaking research is described in nearly 370 scientific publications, including a number of seminal review articles, and numerous patents which span the fields of peptide synthesis resin supports, PEG-PS, CLEAR, peptide synthesis reagents and protecting groups, PAL, HAL,XAL, BAL, Clear-OX, technologies for the synthesis of antisense ,phosphorothioate, DNA and RNA, and universal DNA arrays for detection of genetic diseases. His inventions have netted nearly $1.4 million in royalties and licensing fees to the University of Minnesota. Interestingly, Dr. Barany synthesized the active ingredient of garlic, and collaborated to show its chemopreventive properties.</p>
<p>While at Minnesota, Professor Barany has mentored approximately 60 graduate and post-doctoral students, and over 100 undergraduates. Many of his protégés have gone on to prominence as independent scientists in academia, industry, biotechnology, and government, and several of them have received prestigious awards of their own.</p>
<p>George Barany received the Vincent du Vigneaud Award for outstanding achievements in peptide research in 1994, and the Ralph F. Hirschmann Award in Peptide Chemistry from the American Chemical Society in 2006. He served a six-year term on the Council of the American Peptide Society, and in 1999 was co-chair of the Sixteenth American Peptide Symposium held in Minneapolis.</p>",https://americanpeptidesociety.org/wp-content/uploads/2019/08/barany_george.jpg,barany-george,publish
14894,"Marshall, Garland R.",,2023-11-10 20:15:59,https://americanpeptidesociety.org/award/marshall-garland-r-2/,,duvigneaud,1994,Garland R.,Marshall,Washington University Medical School at St. Louis,,,marshall-garland-r-2,publish
14895,"Lugoski Karle, Isabella",,2023-11-10 20:15:59,https://americanpeptidesociety.org/award/lugoski-karle-isabella/,,duvigneaud,1992,Isabella,Lugoski Karle,Naval Research Laboratory,,,lugoski-karle-isabella,publish
14896,"Vale, Wylie W.",,2023-11-10 20:15:59,https://americanpeptidesociety.org/award/vale-wylie-w/,,duvigneaud,1992,Wylie W.,Vale,The Salk Institute for Biological Studies,,,vale-wylie-w,publish
14897,"Rich, Daniel H.",,2023-11-10 20:15:59,https://americanpeptidesociety.org/award/rich-daniel-h-2/,,duvigneaud,1990,Daniel H.,Rich,University of Wisconsin at Madison,,,rich-daniel-h-2,publish
14898,"Rivier, Jean E.",,2023-11-10 20:15:59,https://americanpeptidesociety.org/award/rivier-jean-e/,,duvigneaud,1990,Jean E.,Rivier,The Salk Institute for Biological Studies,,,rivier-jean-e,publish
14899,"DeGrado, William F.",,2023-11-10 20:15:59,https://americanpeptidesociety.org/award/degrado-william-f-2/,,merrifield,1988,William F.,DeGrado,DuPont Central Research,,,degrado-william-f-2,publish
14900,"Sawyer, Tomi K.",,2023-11-10 20:15:59,https://americanpeptidesociety.org/award/sawyer-tomi-k/,,duvigneaud,1988,Tomi K.,Sawyer,The Upjohn Company,,,sawyer-tomi-k,publish
14901,"Freidinger, Roger M.",,2023-11-10 20:15:59,https://americanpeptidesociety.org/award/freidinger-roger-m/,,duvigneaud,1986,Roger M.,Freidinger,"Merck, Sharp & Dohme",,,freidinger-roger-m,publish
14902,"Rosenblatt, Michael",,2023-11-10 20:15:59,https://americanpeptidesociety.org/award/rosenblatt-michael/,,duvigneaud,1986,Michael,Rosenblatt,Massachusetts General Hospital,,,rosenblatt-michael,publish
14903,"Tam, James P.",,2023-11-10 20:15:59,https://americanpeptidesociety.org/award/tam-james-p-2/,,duvigneaud,1986,James P.,Tam,The Rockefeller University,,,tam-james-p-2,publish
14904,"Eipper, Betty Sue",,2023-11-10 20:15:59,https://americanpeptidesociety.org/award/eipper-betty-sue/,,duvigneaud,1984,Betty Sue,Eipper,The Johns Hopkins University,,,eipper-betty-sue,publish
14905,"Gierash, Lila M.",,2023-11-10 20:16:00,https://americanpeptidesociety.org/award/gierash-lila-m/,,duvigneaud,1984,Lila M.,Gierash,University of Delaware,,,gierash-lila-m,publish
14906,"Mains, Richard E.",,2023-11-10 20:16:00,https://americanpeptidesociety.org/award/mains-richard-e/,,duvigneaud,1984,Richard E.,Mains,The Johns Hopkins University,,,mains-richard-e,publish
14907,"Albericio, Fernando",,2023-11-10 20:16:00,https://americanpeptidesociety.org/award/albericio-fernando-2/,,goodman,2019,Fernando,Albericio,University of KwaZulu-Natal,"<p>Fernando Albericio got his Ph.D. in Chemistry at the University of Barcelona (UB) under the guidance of Ernest Giralt.  After several postdoctoral stays at Tufts University (Victor Najjar); Université d’Aix-Marseille (Jurphass van Rietschoten); and University of Minnesota (George Barany) he returned to Barcelona in 1985 as an Associate Professor at the UB. From 1992-94, he was Director of Peptide Research at Millipore in Boston. He rejoined the UB after this period and was promoted to Full Professor in 1995. From 2003-2015, he was Group Leader at the Institute for Research in Biomedicine (IRB).  From 2014-2015, he was founder Rector of Yachay Tech, a university in Ecuador.  Since 2016, he is Research Professor at the University of KwaZulu-Natal (Durban, South Africa), where he has created the Peptide Science Laboratory.</p>
<p>Fernando has published more than 900 refereed papers, book chapters, and proceedings, edited 1 book, filed 60 patents, and has served as advisor for 72 Ph.D. students in different universities.</p>
<p>His major research interests cover practically all aspects of peptide synthesis (new reactions, building blocks, coupling reagents, solid phase supports, protecting groups, and linkers), as well as synthesis of peptides and small molecules with therapeutic activities (cancer and infectious diseases).  Furthermore, his group is also involved in developing new systems for drug delivery and strategies for diagnostics as well.  Lastly, he was working in the development of multicomponent platforms for the preparation of bioconjugates.</p>
<p>More than 30 of the commodities developed by his group has reached the market: PAL-linker, PEG-PS-resin, ChemMatrix resin, Cys(Phacm), Cys(Dpm), Cys(SDmp), OxymaPure, K-Oxyma, Oxyma-B, COMU, PyAOP, PyClock, PyOxim, allyl based orthogonal chemistry, and green chemistry technologies associated to solid-phase peptide synthesis, among others.</p>
<p>Fernando is deeply involved in the creation of the Entrepreneurial University in Spain, in Latinoamerica, and, presently, in South Africa. He participated in the foundation of the Barcelona Science Park (BSP), taking on various responsibilities, and served as General Director of this organization from 2005-2012.  During his tenure at the BSP, he catalyzed the creation of almost 100 start-up companies.  He is also co-founder of Biotechnology Incubator Durban (BID).</p>",https://americanpeptidesociety.org/wp-content/uploads/2019/08/albericio_fernando2.jpg,albericio-fernando-2,publish
